"Numero","Ano","Modalidade","Objeto","Data de Abertura"
"056","2026","Concorrência","Contratação de empresa especializada em construção civil para execução de pavimentação em bloquetes sextavados de concreto nas Ruas João Alves Motoso e São João, no Distrito de Ijicatu, com área aproximada de 3.104,67 m², no Município de José Gonçalves de Minas/MG.","2026-09-09"
"055","2026","Dispensa","Contratação de pessoa jurídica especializada para a prestação de serviços contínuos de coleta seletiva, recebimento, segregação, triagem, classificação, acondicionamento, armazenamento temporário e destinação ambientalmente adequada dos materiais recicláveis gerados no Município de José Gonçalves de Minas/MG.","2026-07-31"
"054","2026","Concorrência","Contratação de empresa  especializada para execução de obra de engenharia destinada à revitalização de canteiros  centrais e urbanização de vias, incluindo pavimentação, drenagem superficial, meios-fios,  sarjetas, paisagismo, iluminação pública e demais serviços previstos nos projetos  técnicos e documentos que integram o processo administrativo, na Comunidade de  Catutiba, Município de José Gonçalves de Minas/MG","2026-08-21"
"053","2026","Pregão Eletrônico","Registro de preços para futura e eventual aquisição de materiais  descartáveis e utensílios de copa/cozinha destinados à manutenção das  atividades das secretarias municipais e demais setores vinculados à  administração pública do Município de José Gonçalves de Minas/MG.","2026-08-19"
"052","2026","Credenciamento","Credenciamento de empresa especializada em serviços de hospedagem e alimentação para manutenção das diversas secretarias do município de José Gonçalves de Minas/MG, conforme especificações constantes no Termo de Referência Anexo I deste Edital.","2026-08-06"
"051","2026","Pregão Eletrônico","Registro de Preços para futura e eventual Contratação de empresa especializada para prestação de  serviços de despachante, compreendendo emplacamento, emissão de placas veiculares, registro  de veículos, transferência de propriedade, baixa de veículos, inspeção técnica de veículos do  transporte escolar e demais procedimentos de regularização documental da frota oficial do  Município de José Gonçalves de Minas/MG.","2026-08-13"
"050","2026","Dispensa","Contratação de empresa especializada para prestação de serviços técnicos continuados de consultoria e assessoria na gestão, operacionalização, qualificação e suporte do sistema e- SUS Atenção Primária à Saúde (e-SUS APS), incluindo implantação e/ou migração para ambiente de computação em nuvem, parametrização, suporte técnico contínuo, monitoramento, análise e avaliação de indicadores de desempenho da Atenção Primária à Saúde, bem como capacitação e treinamento presencial e/ou remoto das equipes de saúde, destinados ao atendimento das necessidades da Secretaria Municipal de Saúde do Município de José Gonçalves de Minas/MG.","2026-07-15"
"049","2026","Pregão Eletrônico","Registro de preços para futura e eventual aquisição de pré-moldados de concreto, compreendendo blocos estruturais, pisos intertravados, meios-fios, canaletas e demais materiais complementares destinados à execução, manutenção e conservação da infraestrutura urbana e rural, bem como à manutenção dos bens públicos do município de josé gonçalves de minas/mg.","2026-08-05"
"048","2026","Pregão Eletrônico","Registro de preços para futura e eventual contratação de empresa especializada para confecção, impressão e fornecimento de materiais gráficos diversos, destinados ao atendimento das demandas das secretarias municipais e demais órgãos da administração do município de josé gonçalves de minas/mg.","2026-08-10"
"047","2026","Inexigibilidade","Contratação direta, por inexigibilidade de licitação, de pessoa jurídica especializada para o fornecimento do insumo laboratorial Singeng Max S-3, destinado ao abastecimento do laboratório da Secretaria Municipal de Saúde do Município de José Gonçalves de Minas/MG, visando assegurar a continuidade da realização de exames laboratoriais essenciais à assistência, ao diagnóstico e ao acompanhamento clínico dos usuários do Sistema Único de Saúde (SUS).","2026-06-23"
"046","2026","Adesão à Ata","Registro de preço para futura e eventual aquisição de veículos da linha leve, afim de atender as necessidades dos entes consorciados ao ciminas","2026-07-14"
"045","2026","Inexigibilidade","Contratação do artista IGOR FERRARI, com a turnê ""O Xerife do Baile"", representado com exclusividade pela empresa Time Line Entretenimentos Ltda, para realização de apresentação musical no dia 11 de outubro de 2026, na Praça Pública José Lago Mendonça, no Município de José Gonçalves de Minas/MG, integrando a programação oficial da Tradicional Festa de Nossa Senhora Aparecida, promovida pela Secretaria Municipal de Cultura.","2026-06-22"
"044","2026","Dispensa","Contratação de empresa especializada para o fornecimento de equipamentos de sonorização, destinados ao atendimento das demandas da Secretaria Municipal de Esportes, Cultura, Lazer e Turismo do Município de José Gonçalves de Minas/MG.","2026-06-30"
"043","2026","Inexigibilidade","Contratação do SÉRGIO SILVA ESTILIZADO, representado com exclusividade pelo empresário Reginaldo Costa Batista (Chandon), para apresentação de show musical a ser realizado no dia 10 de outubro de 2026, na Praça Pública José Lago Mendonça, no Município de José Gonçalves de Minas, como parte integrante da programação oficial em comemoração à Tradicional Festa de Nossa Senhora Aparecida do Município de José Gonçalves de Minas, promovida pela Secretaria Municipal de Cultura.","2026-06-18"
"042","2026","Dispensa","Contratação de empresa especializada em construção civil para execução dos serviços de construção do ponto de apoio a saúde na comunidade do Brejo, no municpio de José Gonçalves de Minas/MG.","2026-06-15"
"041","2026","Pregão Eletrônico","Registro de preços para futura e eventual aquisição de materiais de limpeza, higiene e conservação destinados à manutenção das atividades das secretarias municipais e demais setores vinculados à administração pública do município de josé gonçalves de minas/mg","2026-07-01"
"040","2026","Credenciamento","Credenciamento de pessoa física ou jurídica para prestação de serviços médicos de forma complementar (art. 199 da CF/88), para a manutenção dos serviços de atenção à demanda espontânea, incluindo médicos plantonista para atendimentos de urgência e emergência na Unidade Básica de Saúde Julia Rodrigues Pereira, serviço de enfermagem regime plantonista 12x36, serviços médicos para realização de consultas especializadas para os pacientes do município de José Gonçalves de Minas","2026-06-17"
"039","2026","Adesão à Ata","Registro de preços para futura e eventual contratação de empresa para fornecimento de veículos diversos 0 km, novos, primeiro emplacamento, para atender a demanda dos municípios integrantes do consórcio intermunicipal multifinalitário da área mineira da sudene- cimams.","2026-06-15"
"038","2026","Pregão Eletrônico","Registro de preços para futura e eventual aquisição de bombas submersas, equipamentos elétricos e equipamentos hidráulicos destinados à manutenção, operação, ampliação e modernização do sistema de abastecimento hídrico do município de josé gonçalves de minas/mg","2026-06-22"
"037","2026","Concorrência","Contratação de empresa especializada em construção civil para execução dos serviços de reforma e ampliação do Campo Joaquim de Paulo, localizado no município de José Gonçalves de Minas.","2026-06-23"
"036","2026","Pregão Eletrônico","Registro de Preços para futura e eventual aquisição de Gêneros Alimentícios destinados ao  Programa Nacional de Alimentação Escolar - PNAE, para o preparo da Alimentação Escolar dos  alunos do Ensino Fundamental, Ensino Integral e Educação Infantil da Rede Municipal de Ensino  de José Gonçalves de Minas - MG para o ano letivo de 2026.","2026-06-19"
"035","2026","Dispensa","Contratação de empresa especializada em telecomunicações, que possua outorga da Agência Nacional de Telecomunicações (ANATEL), para a prestação de serviços de telefonia móvel com o fornecimento de linhas, de acesso móvel pós-pago, com atualização tecnológica de Gestão de dispositivo e proteção de celular atendendo a Lei LGPD, para atender às Secretarias do Município de José Gonçalves de Minas.","2026-05-29"
"034","2026","Pregão Eletrônico","Registro de preço para futura e eventual aquisição de combustível gasolina comum (proximidades da cidade de Curvelo/MG) e diesel S10 (proximidades da cidade de Curvelo/MG), a fim de atender às necessidades de reabastecimento da frota municipal de José Gonçalves de Minas – MG.","2026-06-15"
"033","2026","Dispensa","Contratação de empresa especializada para prestação de serviços de seguro veicular, com cobertura total (casco), responsabilidade civil facultativa (RCF), acidentes pessoais por passageiros (APP) e assistência 24 horas, para atendimento da frota oficial da Prefeitura Municipal de José Gonçalves de Minas – MG.","2026-05-15"
"032","2026","Concorrência","Contratação de empresa especializada em construção civil para execução dos serviços de calçamento em bloquetes sextavados de concreto na Rua Lapinha, localizada na Comunidade dos Paulinos, no Município de José Gonçalves de Minas/MG, conforme especificações constantes nos projetos técnicos, memorial descritivo, planilha orçamentária e demais documentos que integram o processo administrativo, em atendimento ao Convênio nº 1491000953/2023 – SEGUNDO TERMO ADITIVO – AMPLIAÇÃO DE META","2026-06-03"
"031","2026","Adesão à Ata","Aquisição de 01 (um) veículo automotor tipo Van Escolar, novo (zero quilômetro), com capacidade mínima para 15 (quinze) passageiros, destinado ao atendimento das necessidades do Município de José Gonçalves de Minas/MG, em cumprimento ao Plano de Trabalho do Convênio de Saída nº 1261001512/2025/SEE","2026-08-03"
"030","2026","Adesão à Ata","Aquisição de 02 (dois) veículos automotores, tipo minivan, com capacidade para 07  (sete) lugares, destinados à manutenção e ao aprimoramento dos serviços da  Secretaria Municipal de Saúde de José Gonçalves de Minas/MG.","2026-05-13"
"029","2026","Dispensa","Contratação de empresa especializada para execução de obras de engenharia consistentes na pavimentação de trechos críticos em vias públicas, compreendendo o Trecho do Morro de Estiva, Trecho do Morro da Comunidade de Córrego do Arrozal, Rua Paulista e Rua São Vicente, localizada no Bairro Neblina, bem como a execução de serviços de drenagem pluvial por meio de manilhamento nas Comunidades de Farinha Seca e Alegre, no Município de José Gonçalves de Minas/MG.","2026-05-04"
"028","2026","Dispensa","Contratação de empresa especializada para o fornecimento de equipamentos e mobiliário escolar, destinados ao atendimento dos alunos matriculados nas escolas da rede municipal de ensino, conforme especificações constantes no Plano de Aplicação de Recursos nº 000040/2022, no âmbito do Convênio nº 1261000451/2022 – Programa de Fortalecimento das Escolas Municipais, para utilização nas unidades escolares e na Secretaria Municipal de Educação.","2026-04-29"
"027","2026","Dispensa","Contratação de pessoa física ou jurídica especializada para a prestação de serviços de instrutor de karatê, compreendendo o planejamento, a organização e a execução de oficinas regulares no âmbito do Serviço de Convivência e Fortalecimento de Vínculos (SCFV), destinadas aos usuários atendidos pela Secretaria Municipal de Assistência Social, Habitação e Trabalho do Município de José Gonçalves de Minas/MG.","2026-04-22"
"026","2026","Inexigibilidade","Locação de imóvel situado na Rua Professora Juscelina Costa, 258, Centro, na sede do município de José Gonçalves de Minas/MG, para instalação e funcionamento da Secretaria Municipal de Saúde, compreendendo espaço físico adequado para o desenvolvimento das atividades administrativas, operacionais e de atendimento ao público, em conformidade com as necessidades institucionais da Administração Pública Municipal.","2026-03-31"
"025","2026","Dispensa","Contratação de empresa especializada no fornecimento de cortador de grama dirigível, destinado à manutenção das unidades esportivas vinculadas à Secretaria Municipal de Esporte, Cultura, Lazer e Turismo do Município de José Gonçalves de Minas/MG.","2026-04-09"
"024","2026","Concorrência","Contratação de empresa especializada para execução de obra de engenharia consistente na construção de 20 (vinte) unidades habitacionais de interesse social, a serem implantadas na Comunidade de Ijicatu, no município de José Gonçalves de Minas/MG, no âmbito do Programa Minha Casa, Minha Vida – MCMV / FNHIS Sub 50, compreendendo a execução integral dos serviços, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.","2026-05-06"
"023","2026","Pregão Eletrônico","Registro de preço para futura e eventual aquisição de combustíveis, destinados à manutenção e ao regular funcionamento da frota de veículos e máquinas pertencentes ao município de josé gonçalves de minas/mg","2026-05-04"
"022","2026","Dispensa","Contratação de empresa especializada em engenharia para execução de serviços de ampliação da edificação e construção de muro de fechamento da Unidade Básica de Saúde Joana Dias, na comunidade Ijicatu, localizada no município de José Gonçalves de Minas/MG.","2026-04-07"
"021","2026","Chamada Pública","AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA UTILIZAÇÃO NA ALIMENTAÇÃO ESCOLAR DO ANO LETIVO DE 2026.","2026-04-06"
"020","2026","Concorrência","Contratação de empresa especializada em construção civil para execução dos serviços de pavimentação em bloquetes sextavados de concreto em trechos de morro, totalizando 2.652,00 m², nas comunidades de Córrego do Cipó, Farinha Seca, Ribeirão Pequeno e Córrego do Arrozal, no Município de José Gonçalves de Minas/MG, conforme especificações constantes nos projetos técnicos, memorial descritivo, planilha orçamentária e demais documentos que integram o presente instrumento.","2026-04-07"
"019","2026","Dispensa","Contratação de empresa especializada no fornecimento de materiais esportivos para atender às demandas da Secretaria Municipal de Esportes, Cultura, Lazer e Turismo do Município de José Gonçalves de Minas/MG.","2026-03-30"
"018","2026","Credenciamento","Credenciamento de empresa especializada para a prestação de serviços laboratoriais em Prótese Dentária, compreendendo a confecção, produção, moldagens, provas, ajustes, entrega e acompanhamento técnico das próteses dentárias (totais e parciais), conforme normas vigentes do Ministério da Saúde, diretrizes do Programa Brasil Sorridente para atendimentos aos usuários do SUS no município de José Gonçalves de Minas","2026-04-01"
"017","2026","Dispensa","Contratação de profissional(is) especializado(s) (Maestro) para ministrar oficinas artísticas nas áreas de música, dança, teatro, incluindo preparação de conteúdos, realização das aulas práticas e teóricas e orientação aos participantes, com o objetivo de promover o acesso à cultura, a formação artística e o fortalecimento das manifestações culturais do município de José Gonçalves de Minas/MG.","2026-03-19"
"016","2026","Credenciamento","Credenciamento de empresa especializada para prestação de serviços de máquinas pesadas e caminhões, inclusas as despesas com operadores e/ou motoristas, com encargos sociais, as despesas com a manutenção dos equipamentos, incluindo combustíveis e lubrificantes e demais despesas para manutenção dos serviços municipais, conforme especificações constantes no Termo de Referência Anexo I deste Edital.","2026-03-18"
"015","2026","Credenciamento","Credenciamento de pessoas jurídicas para prestação de serviço de transporte eventual (táxi), em veículo cuja capacidade mínima seja de 5 lugares, conforme especificações constantes no Termo de Referência Anexo I deste Edital.","2026-03-11"
"014","2026","Concorrência","Contratação de empresa especializada na execução de obras de engenharia para a construção de quadra poliesportiva na Escola Municipal Gangorras, localizada na Rua Professora Juscelina Costa, s/n, Centro, no município de José Gonçalves de Minas/MG, conforme projetos, planilhas orçamentárias, cronograma físico-financeiro, memorial descritivo e demais documentos técnicos que integram o presente processo.","2026-03-25"
"013","2026","Dispensa","Contratação de serviços técnicos especializados em assessoria e consultoria jurídica em planejamento e gestão nos procedimentos de compras, licitações e contratações públicas, para atender às demandas de alta relevância e complexidade da Administração Pública Municipal de José Gonçalves de Minas/MG.","2026-03-11"
"012","2026","Inexigibilidade","Contratação do MURIEL ALVES, representado com exclusividade pelo empresário Reginaldo Costa Batista (Chandon), para apresentação de show musical a ser realizado no dia 07 de março de 2026, na Praça Pública José Lago Mendonça, no Município de José Gonçalves de Minas, como parte integrante da programação oficial em comemoração ao 30º Aniversário de Emancipação Política do Município, promovida pela Secretaria Municipal de Cultura.","2026-02-25"
"011","2026","Inexigibilidade","Contratação do CANTOR CLAYTON QUEIROZ, representada pelo empresário exclusivo TRAVEL FAMILY VIAGENS E PRODUÇÕES DE EVENTOS LTDA para realização de show musical no dia 06 de março de 2026, na praça pública José Lago Mendonça na cidade de José Gonçalves de Minas-MG, em comemoração ao Dia do Evangélico, promovida pela Secretaria Municipal de Cultura do Município de José Gonçalves de Minas/MG.","2026-02-24"
"010","2026","Inexigibilidade","Contratação da banda Fricote representada pelo seu empresário exclusivo VERTON PRODUCOES LTDA para realização de show musical no dia 08 de março de 2026, na Praça José Lago de Mendonça no município de José Gonçalves de Minas/MG, como parte da programação do Aniversário de 30 anos da Cidade, promovida pela Secretaria Municipal de Cultura do Município de José Gonçalves de Minas/MG.","2026-02-24"
"009","2026","Credenciamento","Credenciamento de artistas nas categorias de cantor(a), dupla e bandas de renome local/regional pequeno e médio porte para apresentações musicais, em diferentes estilos, bem como locução para atender os eventos e festividades realizadas e apoiadas pelo município de José Gonçalves de Minas/MG.","2026-03-04"
"008","2026","Inexigibilidade","Contratação da banda Fuguetão Baiano representada pelo seu empresário exclusivo KARA EVENTOS E PROMOÇÕES LTDA para realização de show musical no dia 07 de março de 2026, na Praça José Lago de Mendonça no município de José Gonçalves de Minas/MG, como parte da programação do Aniversário de 30 anos da Cidade, promovida pela Secretaria Municipal de Cultura do Município de José Gonçalves de Minas/MG.","2026-02-23"
"007","2026","Dispensa","Contratação de Empresa Especializada para Prestação contínua de serviços de provimento de acesso à internet banda larga, com disponibilidade 24 (vinte e quatro) horas por dia, 7 (sete) dias por semana, de forma ILIMITADA, incluso fornecimento de equipamentos em comodato, destinados ao atendimento das diversas Secretarias, setores, órgãos integrantes da Administração Pública Municipal e entidades conveniadas.","2026-02-26"
"006","2026","Adesão à Ata","Adesão à Ata de Registro de Preços nº 001/2025, oriunda do Pregão Eletrônico nº 031/2024, cujo objeto consiste no Registro de preços para futura e eventual contratação de pessoa jurídica para prestação de serviços de transporte escolar, através do menor preço por quilometragem diária, para atender a demanda dos municípios consorciados ao União da Serra Geral conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos, adesão destinando-se, especificamente, a atender às","2026-01-28"
"005","2026","Pregão Eletrônico","Registro de preço para futura e eventual contratação de empresa  especializada para prestação de serviços de transporte com  fornecimento de veículos leves e pesados devidamente habilitados  para transporte de pessoas e equipamentos aferidos por km, para  atender às necessidades das secretarias municipais do município de José Gonçalves de Minas/MG.","2026-01-25"
"004","2026","Inexigibilidade","Contratação do Artista O Miozin do Goiás representada pelo seu empresário exclusivo E.P ARTISTAS E EVENTOS LTDA para realização de show musical no dia 07 de fevereiro de 2026, na praça pública na comunidade de Catutiba do município de José Gonçalves de Minas-MG, como parte da programação da tradicional Festa de São Brás, promovida pela Secretaria Municipal de Cultura do Município de José Gonçalves de Minas/MG.","2026-01-28"
"003","2026","Credenciamento","Credenciamento de pessoa jurídica ou pessoa física para execução de serviços terceirizados/fornecimento de mão de obra nas áreas de serviços de limpeza, mecânicos, construção, conservação e manutenção de equipamentos, sistema de abastecimento de água, vias, praças, canteiros, espaços e prédios públicos e logradouros em geral, no perímetro urbano e rural do município de José Gonçalves de Minas/MG","2026-02-04"
"002","2026","Credenciamento","Credenciamento de Instituição Financeira Pública ou Privada, inclusive sob a forma de Cooperativa de Crédito,  autorizada a funcionar pelo Banco Central do Brasil, para a prestação de serviços de centralização, processamento  e gerenciamento de créditos provenientes da folha de pagamento e a Concessão de Empréstimos Consignados  sem exclusividade  dos servidores ativos e empregados públicos da Administração Direta do município de José  Gonçalves de Minas..","2026-02-04"
"001","2026","Pregão Eletrônico","Registro de preço para futura e eventual contratação de empresa especializada para prestação de serviço de perfuração de poço artesianos, com teste de vazão, limpeza e desifecção, destinados a atender às necessidades do município de José Gonçalves de Minas/MG","2026-01-29"
"080","2025","Inexigibilidade","Contratação do artista Rodrigo Silva por meio de empresa própria para realização de show musical no dia 10 de janeiro de 2026, na praça pública da comunidade de Santa Rita de Cássia no município de José Gonçalves de Minas-MG, promovida pela Secretaria Municipal de Cultura do Município de José Gonçalves de Minas/MG.","2025-12-30"
"079","2025","Concorrência","Contratação de empresa especializada para a construção de 25 (vinte e cinco) Unidades Habitacionais, na Comunidade de Catutiba, no município de José Gonçalves de Minas/MG.","2026-01-20"
"078","2025","Contratatação direta","Contratação do Consórcio Público Intermunicipal de Saúde do Alto Jequitinhonha - CISAJE por meio de Contrato de Programa para prestação de serviços em saúde para usuários do Sistema Único de Saúde do Município de José Gonçalves de Minas/MG.","2025-12-10"
"077","2025","Pregão Eletrônico","Registro de preço para futura e eventual aquisição de gêneros alimentícios para subsidiar as atividades de todas as unidades administrativas e secretarias componentes da administração púbica municipal de José Gonçalves de Minas/MG.","2025-12-23"
